"","CSDUID","CSD","Period","IndicatorSummaryDescription","UnitOfMeasure","OriginalValue","orig.id"
"105",4813018,"Barrhead County No. 11",2019,"All Families Income (Median)","$",86232.5,"105"
"145",4805008,"Lomond",2019,"All Families Income (Median)","$",77310,"145"
"202",4811034,"Parkland County",2019,"All Families Income (Median)","$",100823.3646,"202"
"101",4813029,"Woodlands County",2019,"All Families Income (Median)","$",79760.78947,"101"
"258",4816051,"Improvement District No. 24 Wood Buffalo",2019,"All Families Income (Median)","$",43900,"258"
"253",4817835,"Fox Lake 162",2019,"All Families Income (Median)","$",28090,"253"
"166",4810004,"Ferintosh",2019,"All Families Income (Median)","$",82830,"166"
"203",4811038,"Seba Beach",2019,"All Families Income (Median)","$",95790,"203"
"18",4801018,"Redcliff",2019,"All Families Income (Median)","$",85430,"18"
"279",4810046,"Dewberry",2019,"All Families Income (Median)","$",79360,"279"
"22",4802006,"Warner",2019,"All Families Income (Median)","$",62610,"22"
"77",4808044,"Rimbey",2019,"All Families Income (Median)","$",90630,"77"
"269",4813044,"Athabasca County",2019,"All Families Income (Median)","$",73350.53763,"269"
"138",4804019,"Youngstown",2019,"All Families Income (Median)","$",94070,"138"
"26",4807052,"Edgerton",2019,"All Families Income (Median)","$",93300,"26"
"10",4805034,"Delia",2019,"All Families Income (Median)","$",83780,"10"
"133",4804004,"Special Area No. 2",2019,"All Families Income (Median)","$",67864.375,"133"
"282",4810059,"Andrew",2019,"All Families Income (Median)","$",75264.19355,"282"
"291",4814019,"Hinton",2019,"All Families Income (Median)","$",124330,"291"
"219",4812808,"White Fish Lake 128",2019,"All Families Income (Median)","$",44840,"219"
"141",4805001,"Vulcan County",2019,"All Families Income (Median)","$",78503.52941,"141"
"281",4810051,"Myrnam",2019,"All Families Income (Median)","$",75790,"281"
"60",4802013,"Coalhurst",2019,"All Families Income (Median)","$",98710,"60"
"131",4803802,"Blood 148",2019,"All Families Income (Median)","$",31230,"131"
"240",4812024,"Vilna",2019,"All Families Income (Median)","$",71180,"240"
"86",4810026,"Minburn County No. 27",2019,"All Families Income (Median)","$",76991,"86"
"181",4819042,"McLennan",2019,"All Families Income (Median)","$",99690,"181"
"290",4814003,"Yellowhead County",2019,"All Families Income (Median)","$",94834.70874,"290"
"193",4819011,"Wembley",2019,"All Families Income (Median)","$",119480,"193"
"45",4807031,"Flagstaff County",2019,"All Families Income (Median)","$",93516.36364,"45"
"34",4807021,"Big Valley",2019,"All Families Income (Median)","$",82480,"34"
"58",4806017,"Chestermere",2019,"All Families Income (Median)","$",121900,"58"
"216",4811019,"Calmar",2019,"All Families Income (Median)","$",100900,"216"
"132",4804001,"Acadia No. 34",2019,"All Families Income (Median)","$",92390,"132"
"243",4819071,"Peace No. 135",2019,"All Families Income (Median)","$",84855.35714,"243"
"48",4807038,"Heisler",2019,"All Families Income (Median)","$",89700,"48"
"17",4801014,"Bow Island",2019,"All Families Income (Median)","$",84250,"17"
