age,job,marital,education,default,housing,loan,duration,voicemail,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
51,services,married,high.school,unknown,yes,no,596,yes,1.4,93.918,-42.7,4.962,5228.1,yes
28,admin.,single,high.school,no,yes,no,59,yes,-1.8,92.893,-46.2,1.291,5099.1,no
34,management,married,university.degree,no,yes,no,77,no,-1.8,92.893,-46.2,1.281,5099.1,no
31,technician,single,high.school,no,yes,yes,768,no,1.4,93.444,-36.1,4.966,5228.1,yes
31,admin.,married,university.degree,no,yes,no,96,no,1.4,93.444,-36.1,4.962,5228.1,no
31,admin.,single,university.degree,no,yes,no,357,yes,1.4,94.465,-41.8,4.864,5228.1,no
38,self-employed,single,university.degree,no,no,no,459,yes,1.1,93.994,-36.4,4.855,5191,no
33,unemployed,married,basic.9y,no,no,no,11,no,1.4,94.465,-41.8,4.959,5228.1,no
32,technician,single,university.degree,no,no,no,264,yes,1.4,93.444,-36.1,4.966,5228.1,no
54,technician,married,professional.course,unknown,yes,no,698,yes,-1.8,93.075,-47.1,1.405,5099.1,no
41,admin.,divorced,high.school,no,yes,no,204,yes,1.4,94.465,-41.8,4.961,5228.1,no
59,services,married,basic.4y,unknown,no,no,93,yes,1.4,93.444,-36.1,4.963,5228.1,no
57,retired,married,university.degree,no,yes,no,374,unknown,-1.8,93.075,-47.1,1.365,5099.1,no
38,entrepreneur,divorced,university.degree,no,yes,no,252,no,-0.1,93.2,-42,4.076,5195.8,no
46,admin.,married,university.degree,no,yes,no,158,yes,1.1,93.994,-36.4,4.857,5191,no
37,unemployed,single,university.degree,no,yes,yes,95,yes,-0.1,93.2,-42,4.153,5195.8,no
47,services,single,basic.9y,no,unknown,unknown,835,no,1.4,94.465,-41.8,4.961,5228.1,yes
45,admin.,single,university.degree,no,no,no,505,no,1.4,93.444,-36.1,4.964,5228.1,yes
36,blue-collar,married,basic.6y,no,yes,no,16,yes,1.4,93.918,-42.7,4.962,5228.1,no
40,unemployed,single,high.school,no,yes,no,300,yes,1.4,93.918,-42.7,4.96,5228.1,no
38,blue-collar,married,basic.9y,no,no,no,180,no,-0.1,93.2,-42,4.153,5195.8,no
44,blue-collar,married,high.school,unknown,no,no,390,no,1.4,94.465,-41.8,4.961,5228.1,no
25,self-employed,married,university.degree,no,yes,no,274,yes,1.1,93.994,-36.4,4.857,5191,no
30,blue-collar,single,basic.6y,no,yes,no,135,no,1.4,93.918,-42.7,4.961,5228.1,no
43,management,married,professional.course,no,no,no,257,no,-0.1,93.2,-42,4.153,5195.8,no
58,retired,married,basic.6y,unknown,no,no,268,no,1.1,93.994,-36.4,4.857,5191,no
31,technician,married,professional.course,no,yes,no,157,yes,1.1,93.994,-36.4,4.856,5191,no
53,management,married,university.degree,no,no,no,477,yes,1.4,93.918,-42.7,4.961,5228.1,no
52,admin.,married,unknown,no,no,no,91,yes,1.4,93.444,-36.1,4.968,5228.1,no
37,management,married,university.degree,unknown,no,yes,76,yes,-1.8,93.075,-47.1,1.405,5099.1,no
58,admin.,married,high.school,unknown,yes,no,103,yes,1.4,93.918,-42.7,4.961,5228.1,no
37,services,married,high.school,no,yes,yes,436,no,-1.8,92.893,-46.2,1.266,5099.1,no
38,admin.,single,unknown,no,yes,no,191,yes,-1.8,92.893,-46.2,1.313,5099.1,no
33,services,single,basic.9y,no,yes,no,483,no,-1.8,93.075,-47.1,1.41,5099.1,no
45,services,married,high.school,unknown,yes,no,250,yes,-1.8,92.893,-46.2,1.25,5099.1,no
44,entrepreneur,married,professional.course,no,no,no,259,yes,1.1,93.994,-36.4,4.858,5191,no
38,blue-collar,married,basic.6y,no,yes,no,389,yes,1.4,93.918,-42.7,4.966,5228.1,no
34,blue-collar,married,basic.9y,no,no,no,7,yes,-1.7,94.055,-39.8,0.702,4991.6,no
47,management,married,university.degree,no,yes,no,123,yes,-2.9,92.469,-33.6,1.029,5076.2,no
59,admin.,married,university.degree,no,yes,yes,92,yes,-2.9,92.469,-33.6,1.085,5076.2,no
51,blue-collar,married,basic.4y,unknown,yes,yes,297,no,1.4,93.444,-36.1,4.964,5228.1,no
31,blue-collar,married,basic.6y,no,yes,no,406,yes,1.4,94.465,-41.8,4.864,5228.1,no
56,management,married,university.degree,no,yes,yes,104,yes,-0.1,93.2,-42,4.12,5195.8,no
39,admin.,married,university.degree,no,no,no,135,no,1.4,94.465,-41.8,4.961,5228.1,no
41,entrepreneur,married,university.degree,no,yes,no,854,no,-0.1,93.2,-42,4.153,5195.8,yes
41,management,divorced,basic.6y,no,yes,no,147,yes,-0.1,93.2,-42,4.076,5195.8,no
53,services,married,high.school,unknown,no,no,203,no,1.1,93.994,-36.4,4.86,5191,no
35,blue-collar,married,high.school,no,no,yes,149,no,1.4,93.918,-42.7,4.962,5228.1,no
58,retired,married,basic.9y,no,no,yes,144,yes,-1.8,92.893,-46.2,1.334,5099.1,no
25,self-employed,married,professional.course,no,yes,no,394,no,1.4,94.465,-41.8,4.959,5228.1,no
35,blue-collar,divorced,basic.9y,no,yes,no,523,no,-1.8,92.893,-46.2,1.344,5099.1,no
28,services,single,high.school,no,no,no,73,no,1.4,93.918,-42.7,4.963,5228.1,no
55,blue-collar,married,professional.course,no,yes,yes,197,yes,-1.8,92.893,-46.2,1.25,5099.1,no
54,entrepreneur,married,basic.4y,unknown,no,yes,108,yes,1.1,93.994,-36.4,4.855,5191,no
45,technician,divorced,basic.9y,unknown,no,no,80,no,1.4,93.918,-42.7,4.962,5228.1,no
32,blue-collar,married,basic.9y,no,yes,no,114,yes,-1.8,93.075,-47.1,1.41,5099.1,no
50,admin.,married,basic.9y,unknown,yes,no,122,no,1.4,93.444,-36.1,4.963,5228.1,no
75,retired,married,basic.4y,no,no,no,109,yes,-1.8,93.075,-47.1,1.405,5099.1,yes
33,self-employed,divorced,unknown,no,no,no,1161,no,1.1,93.994,-36.4,4.858,5191,no
29,management,married,university.degree,no,no,yes,181,yes,1.4,93.444,-36.1,4.967,5228.1,no
45,management,married,university.degree,no,yes,no,239,yes,-1.8,92.893,-46.2,1.327,5099.1,no
38,admin.,divorced,university.degree,no,no,no,360,no,-1.8,93.075,-47.1,1.392,5099.1,yes
24,services,single,professional.course,no,yes,no,314,no,1.1,93.994,-36.4,4.858,5191,no
41,technician,married,professional.course,no,yes,no,984,no,1.4,93.444,-36.1,4.963,5228.1,no
58,retired,divorced,high.school,no,yes,no,663,no,-2.9,92.963,-40.8,1.262,5076.2,yes
34,admin.,married,university.degree,no,no,yes,157,yes,1.1,93.994,-36.4,4.857,5191,no
34,admin.,married,university.degree,no,no,no,141,yes,-1.1,94.767,-50.8,1.05,4963.6,no
37,technician,divorced,professional.course,no,no,no,374,no,1.1,93.994,-36.4,4.856,5191,no
53,blue-collar,divorced,basic.4y,no,no,no,706,yes,1.4,94.465,-41.8,4.959,5228.1,yes
54,technician,divorced,professional.course,no,yes,yes,797,no,1.4,93.918,-42.7,4.961,5228.1,no
32,technician,divorced,professional.course,no,yes,no,250,yes,-0.1,93.2,-42,4.153,5195.8,no
42,admin.,married,high.school,no,yes,no,311,yes,1.4,93.918,-42.7,4.962,5228.1,no
28,technician,single,professional.course,no,yes,no,63,no,-2.9,92.201,-31.4,0.851,5076.2,yes
33,services,single,high.school,no,yes,no,111,yes,1.1,93.994,-36.4,4.864,5191,no
41,blue-collar,married,basic.9y,no,yes,no,148,no,-1.8,93.075,-47.1,1.405,5099.1,no
31,services,married,high.school,no,no,yes,49,yes,-0.1,93.2,-42,4.076,5195.8,no
40,technician,married,basic.9y,unknown,no,yes,171,unknown,1.1,93.994,-36.4,4.86,5191,no
53,unknown,married,basic.9y,no,no,yes,242,no,-3.4,92.649,-30.1,0.716,5017.5,no
40,admin.,divorced,university.degree,no,yes,no,257,yes,1.4,93.444,-36.1,4.965,5228.1,no
82,housemaid,married,basic.4y,no,no,no,279,yes,-1.1,94.199,-37.5,0.877,4963.6,yes
28,blue-collar,married,basic.4y,no,yes,no,113,no,1.4,93.918,-42.7,4.96,5228.1,no
30,admin.,married,high.school,unknown,yes,no,246,yes,-0.1,93.2,-42,4.12,5195.8,no
31,unemployed,single,university.degree,no,yes,no,309,no,-1.7,94.215,-40.3,0.835,4991.6,yes
32,technician,single,university.degree,no,yes,no,168,yes,1.4,93.444,-36.1,4.965,5228.1,no
54,blue-collar,married,basic.4y,no,yes,no,153,yes,1.4,93.444,-36.1,4.963,5228.1,no
31,blue-collar,married,basic.9y,no,no,no,152,no,1.4,93.918,-42.7,4.963,5228.1,no
50,services,married,unknown,no,yes,no,90,no,1.4,93.444,-36.1,4.968,5228.1,no
47,technician,single,unknown,no,no,no,117,yes,1.4,93.918,-42.7,4.961,5228.1,no
31,admin.,single,high.school,no,yes,yes,149,no,-1.8,92.893,-46.2,1.281,5099.1,no
32,unemployed,married,high.school,no,yes,no,640,no,-0.1,93.2,-42,4.076,5195.8,no
46,admin.,single,high.school,no,yes,no,199,yes,-1.1,94.767,-50.8,1.048,4963.6,no
47,admin.,single,high.school,no,no,no,1114,no,-1.8,92.893,-46.2,1.299,5099.1,no
32,admin.,single,high.school,no,no,no,74,no,-1.1,94.767,-50.8,1.048,4963.6,no
52,services,divorced,high.school,unknown,no,no,190,no,-0.1,93.2,-42,4.191,5195.8,no
45,admin.,married,high.school,no,yes,no,738,yes,-1.1,94.601,-49.5,1.029,4963.6,yes
32,admin.,married,university.degree,no,yes,no,374,yes,-1.8,92.893,-46.2,1.313,5099.1,no
71,blue-collar,divorced,basic.4y,unknown,no,no,224,no,-1.7,94.027,-38.3,0.904,4991.6,no
49,services,married,high.school,no,yes,no,344,yes,1.1,93.994,-36.4,4.855,5191,no
46,admin.,married,high.school,no,yes,yes,148,no,1.4,94.465,-41.8,4.864,5228.1,no
46,blue-collar,married,professional.course,no,no,no,383,yes,-1.1,94.767,-50.8,1.028,4963.6,no
38,admin.,married,university.degree,no,yes,no,35,no,1.4,93.444,-36.1,4.965,5228.1,no
57,services,married,professional.course,unknown,no,no,153,yes,1.4,93.444,-36.1,4.965,5228.1,no
41,services,single,high.school,unknown,unknown,unknown,772,yes,-1.8,92.893,-46.2,1.299,5099.1,no
44,technician,married,professional.course,no,no,no,124,no,1.1,93.994,-36.4,4.864,5191,no
47,technician,married,university.degree,no,yes,no,345,no,1.4,93.444,-36.1,4.964,5228.1,no
40,blue-collar,married,basic.9y,no,yes,yes,951,no,1.1,93.994,-36.4,4.858,5191,no
57,retired,single,professional.course,no,yes,no,188,no,1.1,93.994,-36.4,4.857,5191,no
27,admin.,single,unknown,no,no,no,128,yes,-1.8,93.369,-34.8,0.637,5008.7,yes
52,blue-collar,married,basic.9y,no,no,no,809,yes,1.4,93.444,-36.1,4.966,5228.1,yes
34,management,married,university.degree,no,yes,yes,192,no,-2.9,92.963,-40.8,1.26,5076.2,no
42,entrepreneur,married,university.degree,no,yes,no,154,yes,1.1,93.994,-36.4,4.857,5191,no
51,technician,married,unknown,no,yes,no,17,no,1.4,94.465,-41.8,4.959,5228.1,no
45,management,married,basic.4y,unknown,yes,no,100,yes,1.1,93.994,-36.4,4.855,5191,no
56,retired,married,high.school,no,no,no,317,yes,-1.8,92.893,-46.2,1.244,5099.1,no
41,management,married,university.degree,no,yes,no,93,no,-1.8,92.893,-46.2,1.327,5099.1,no
44,admin.,married,high.school,no,yes,no,111,yes,1.4,93.444,-36.1,4.964,5228.1,no
50,blue-collar,married,basic.6y,no,yes,no,293,no,-1.8,92.893,-46.2,1.354,5099.1,yes
54,self-employed,married,high.school,no,no,no,119,yes,1.4,93.444,-36.1,4.963,5228.1,no
51,blue-collar,married,basic.6y,no,no,no,393,unknown,1.4,93.444,-36.1,4.964,5228.1,no
30,blue-collar,single,basic.9y,no,no,no,30,no,-0.1,93.2,-42,4.12,5195.8,no
42,housemaid,married,basic.4y,unknown,yes,no,38,yes,1.4,94.465,-41.8,4.959,5228.1,no
41,technician,married,professional.course,unknown,yes,no,442,yes,1.4,94.465,-41.8,4.865,5228.1,no
47,services,single,basic.9y,no,no,no,187,no,-0.1,93.2,-42,4.153,5195.8,no
35,blue-collar,married,basic.6y,no,yes,no,113,no,-1.8,93.075,-47.1,1.405,5099.1,no
58,blue-collar,married,basic.9y,no,no,no,64,no,-0.1,93.2,-42,4.153,5195.8,no
50,blue-collar,divorced,high.school,no,yes,yes,629,no,1.4,93.918,-42.7,4.96,5228.1,yes
41,technician,married,professional.course,no,no,no,92,no,1.1,93.994,-36.4,4.856,5191,no
38,technician,married,university.degree,no,yes,no,147,yes,-1.8,92.893,-46.2,1.334,5099.1,no
32,student,single,university.degree,no,no,no,151,yes,-0.1,93.2,-42,4.076,5195.8,no
21,student,single,high.school,no,no,no,259,no,-2.9,92.201,-31.4,0.884,5076.2,no
46,admin.,divorced,basic.9y,unknown,no,no,423,yes,1.1,93.994,-36.4,4.856,5191,no
42,self-employed,married,university.degree,no,yes,no,888,yes,-0.1,93.2,-42,4.021,5195.8,no
55,services,married,basic.9y,no,no,no,76,no,1.4,93.444,-36.1,4.964,5228.1,no
29,admin.,single,high.school,no,yes,no,207,yes,-1.1,94.767,-50.8,1.05,4963.6,no
30,blue-collar,single,basic.6y,unknown,yes,no,100,yes,1.4,94.465,-41.8,4.959,5228.1,no
53,management,married,basic.4y,no,yes,no,63,no,-0.1,93.2,-42,4.12,5195.8,no
35,management,married,university.degree,no,yes,no,265,yes,-0.1,93.2,-42,4.12,5195.8,no
46,services,married,professional.course,no,yes,no,273,yes,1.1,93.994,-36.4,4.856,5191,no
30,blue-collar,married,unknown,no,no,no,85,yes,1.1,93.994,-36.4,4.857,5191,no
43,entrepreneur,married,university.degree,unknown,yes,no,261,yes,1.4,93.918,-42.7,4.961,5228.1,no
42,services,married,high.school,unknown,yes,no,136,yes,1.4,93.918,-42.7,4.96,5228.1,no
32,technician,married,professional.course,no,no,no,711,yes,1.4,93.918,-42.7,4.962,5228.1,no
41,blue-collar,divorced,basic.9y,no,yes,no,88,yes,-1.8,92.893,-46.2,1.313,5099.1,no
28,admin.,married,university.degree,no,no,no,72,yes,-1.8,92.893,-46.2,1.291,5099.1,no
24,services,single,university.degree,no,no,no,113,no,1.4,93.918,-42.7,4.963,5228.1,no
43,management,married,university.degree,unknown,yes,yes,307,no,-1.8,93.075,-47.1,1.405,5099.1,no
30,admin.,single,university.degree,no,yes,no,39,no,1.4,93.444,-36.1,4.97,5228.1,no
55,blue-collar,married,basic.9y,unknown,no,no,63,no,-0.1,93.2,-42,4.153,5195.8,no
51,retired,married,basic.9y,unknown,no,no,64,yes,1.4,93.918,-42.7,4.959,5228.1,no
22,student,single,high.school,no,no,yes,154,yes,1.4,93.918,-42.7,4.957,5228.1,no
32,entrepreneur,single,university.degree,no,no,yes,126,yes,-0.1,93.2,-42,4.076,5195.8,no
43,admin.,married,professional.course,unknown,no,no,127,yes,1.4,93.918,-42.7,4.968,5228.1,no
39,management,married,basic.6y,unknown,no,no,156,yes,1.4,94.465,-41.8,4.865,5228.1,no
52,blue-collar,divorced,unknown,no,no,no,111,yes,1.4,93.918,-42.7,4.961,5228.1,no
38,technician,single,professional.course,no,yes,no,202,no,-1.8,92.893,-46.2,1.244,5099.1,no
59,retired,married,basic.4y,no,no,no,353,no,-1.8,93.075,-47.1,1.453,5099.1,no
31,blue-collar,married,basic.4y,no,yes,no,159,no,1.1,93.994,-36.4,4.857,5191,no
76,retired,single,basic.4y,no,no,no,347,yes,-3.4,92.649,-30.1,0.715,5017.5,yes
44,unknown,single,basic.9y,unknown,yes,no,76,yes,1.4,94.465,-41.8,4.96,5228.1,no
30,blue-collar,married,unknown,no,no,no,85,no,1.1,93.994,-36.4,4.864,5191,no
32,services,married,high.school,unknown,no,no,174,yes,1.4,94.465,-41.8,4.959,5228.1,no
41,unemployed,married,unknown,no,no,no,280,yes,1.4,94.465,-41.8,4.967,5228.1,no
33,admin.,single,university.degree,no,yes,no,686,yes,1.4,93.444,-36.1,4.963,5228.1,yes
59,retired,married,basic.4y,no,yes,no,94,yes,1.4,93.444,-36.1,4.963,5228.1,no
28,blue-collar,married,basic.9y,no,yes,no,225,unknown,1.4,93.918,-42.7,4.96,5228.1,no
33,blue-collar,single,basic.6y,no,yes,no,474,no,-1.8,92.893,-46.2,1.313,5099.1,no
53,services,married,high.school,unknown,yes,no,76,yes,1.4,93.444,-36.1,4.964,5228.1,no
41,services,married,high.school,no,no,no,377,yes,-1.8,92.843,-50,1.778,5099.1,yes
55,unknown,married,basic.4y,no,no,yes,185,no,1.4,93.918,-42.7,4.962,5228.1,no
45,blue-collar,married,basic.9y,unknown,no,no,121,no,1.1,93.994,-36.4,4.856,5191,no
35,technician,married,professional.course,no,no,no,126,yes,1.4,93.918,-42.7,4.968,5228.1,no
31,services,married,high.school,unknown,no,no,160,yes,1.4,93.918,-42.7,4.96,5228.1,no
53,management,married,university.degree,no,no,no,313,no,1.4,93.444,-36.1,4.965,5228.1,no
35,technician,single,professional.course,no,yes,no,141,no,-1.8,92.893,-46.2,1.327,5099.1,no
45,blue-collar,divorced,basic.6y,unknown,yes,no,219,yes,-1.8,92.893,-46.2,1.327,5099.1,no
34,housemaid,single,university.degree,no,no,no,267,no,1.4,94.465,-41.8,4.961,5228.1,no
42,admin.,married,basic.9y,no,no,no,406,no,-1.8,93.075,-47.1,1.405,5099.1,no
36,self-employed,married,basic.9y,no,yes,yes,151,no,-0.1,93.2,-42,4.076,5195.8,no
44,admin.,married,high.school,no,no,no,228,yes,1.1,93.994,-36.4,4.856,5191,no
50,admin.,divorced,university.degree,no,yes,no,73,yes,1.4,93.444,-36.1,4.965,5228.1,no
36,admin.,married,university.degree,no,yes,no,355,yes,-3.4,92.379,-29.8,0.773,5017.5,no
27,technician,married,professional.course,no,no,no,102,yes,1.4,93.918,-42.7,4.963,5228.1,no
40,management,married,unknown,no,no,no,97,yes,1.1,93.994,-36.4,4.859,5191,no
25,technician,single,university.degree,no,yes,yes,35,no,1.4,94.465,-41.8,4.96,5228.1,no
29,management,married,university.degree,no,yes,yes,116,yes,1.4,93.444,-36.1,4.966,5228.1,no
44,admin.,married,high.school,no,no,no,83,no,1.1,93.994,-36.4,4.856,5191,no
57,blue-collar,married,unknown,unknown,yes,no,473,yes,1.1,93.994,-36.4,4.856,5191,no
30,admin.,single,high.school,no,yes,no,605,yes,1.4,93.918,-42.7,4.963,5228.1,no
37,self-employed,married,university.degree,no,yes,yes,585,yes,1.4,93.444,-36.1,4.967,5228.1,no
57,technician,married,basic.9y,no,no,no,94,yes,1.4,93.918,-42.7,4.961,5228.1,no
32,technician,married,professional.course,no,yes,no,255,yes,1.4,93.918,-42.7,4.963,5228.1,yes
54,admin.,married,professional.course,no,no,no,1868,yes,-1.1,94.767,-50.8,1.035,4963.6,yes
58,blue-collar,married,basic.9y,no,yes,no,846,no,1.4,93.444,-36.1,4.97,5228.1,yes
29,admin.,single,university.degree,unknown,yes,no,158,yes,1.4,93.444,-36.1,4.963,5228.1,no
60,services,married,high.school,unknown,no,no,73,yes,1.4,93.444,-36.1,4.966,5228.1,no
27,unemployed,single,university.degree,no,no,no,404,no,1.4,94.465,-41.8,4.864,5228.1,no
30,unemployed,married,high.school,no,yes,no,383,no,1.4,93.918,-42.7,4.961,5228.1,no
42,blue-collar,married,basic.4y,no,no,no,51,yes,1.1,93.994,-36.4,4.859,5191,no
48,housemaid,married,high.school,no,no,no,87,no,1.4,94.465,-41.8,4.864,5228.1,no
35,admin.,single,university.degree,no,no,no,167,no,1.4,93.444,-36.1,4.97,5228.1,no
46,blue-collar,married,basic.6y,unknown,yes,yes,440,yes,1.1,93.994,-36.4,4.857,5191,no
57,retired,unknown,basic.4y,no,no,no,673,no,1.1,93.994,-36.4,4.857,5191,no
30,services,married,high.school,no,no,no,151,no,1.4,94.465,-41.8,4.865,5228.1,no
28,technician,single,high.school,no,yes,yes,48,no,-1.8,93.075,-47.1,1.41,5099.1,no
34,services,married,high.school,unknown,yes,no,309,yes,1.1,93.994,-36.4,4.856,5191,no
42,blue-collar,married,basic.4y,unknown,no,no,236,yes,1.4,94.465,-41.8,4.958,5228.1,no
30,admin.,single,university.degree,no,yes,no,288,no,-0.1,93.2,-42,4.153,5195.8,no
27,student,single,basic.9y,no,yes,no,111,yes,-1.7,94.027,-38.3,0.9,4991.6,no
23,entrepreneur,married,university.degree,no,yes,no,87,no,1.4,93.444,-36.1,4.964,5228.1,no
43,blue-collar,married,basic.4y,unknown,yes,no,193,yes,1.1,93.994,-36.4,4.857,5191,no
59,management,married,basic.4y,unknown,yes,yes,318,no,1.1,93.994,-36.4,4.857,5191,no
31,self-employed,single,university.degree,no,no,no,209,yes,-1.7,94.027,-38.3,0.898,4991.6,no
